SIMULATION PARAMETERS:
n = 180
m = 320
k = 1
p = 5
recruit_likeliness = 1.0E-4
defeat_likeliness = 0.5
starting_control = 100
resource_noise_scale = 0.13176157

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	NATION 4 SIZE	NATION 4 RESOURCES	
242	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
243	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
244	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
245	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
246	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
247	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
248	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
249	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
250	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
251	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
252	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
253	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
254	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
255	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
256	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
257	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
258	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
259	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
260	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
261	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
262	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
263	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
264	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
265	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
266	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
267	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
268	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
269	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
270	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
271	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
272	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
273	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
274	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
275	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
276	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
277	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
278	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
279	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
280	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
281	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
282	57595.0	13181.92	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
