SIMULATION PARAMETERS:
n = 18
m = 32
p = 3
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	
111	111	25.229374	6.8454547	Colonize	111	22.104895	6.8727274	Colonize	111	33.570065	6.8545456	Colonize	
112	112	25.712559	6.8378377	Colonize	112	22.225363	6.882883	Colonize	112	33.677197	6.864865	Contest	
113	113	26.118402	6.866071	Colonize	113	22.314522	6.892857	Colonize	113	33.944855	6.857143	Colonize	
114	114	26.500265	6.8761063	Colonize	114	22.929632	6.884956	Colonize	114	34.19868	6.8318586	Colonize	
115	115	26.71876	6.868421	Colonize	115	23.077597	6.859649	Colonize	115	34.35227	6.8421054	Colonize	
116	116	26.897701	6.878261	Colonize	116	23.192688	6.869565	Colonize	116	34.45051	6.852174	Contest	
117	117	26.961996	6.887931	Colonize	117	23.33355	6.87931	Colonize	117	34.712936	6.8448277	Colonize	
118	118	27.07661	6.8974357	Colonize	118	23.50753	6.888889	Colonize	118	34.953526	6.837607	Colonize	
119	119	27.747444	6.8898306	Colonize	119	23.919434	6.881356	Colonize	119	35.08985	6.8474574	Colonize	
120	120	28.412184	6.882353	Colonize	120	24.048483	6.857143	Colonize	120	35.18465	6.857143	Colonize	
121	121	28.981081	6.875	Colonize	121	24.096394	6.866667	Colonize	121	35.349075	6.866667	Colonize	
122	122	29.503122	6.9008265	Colonize	122	24.147964	6.876033	Colonize	122	35.54324	6.876033	Colonize	
123	123	30.002129	6.8934426	Colonize	123	24.611061	6.885246	Colonize	123	35.68789	6.8688526	Contest	
124	124	30.24572	6.902439	Colonize	124	24.804068	6.8617887	Colonize	124	35.78963	6.878049	Contest	
125	125	30.449018	6.91129	Colonize	125	24.89554	6.870968	Colonize	125	35.88874	6.887097	Contest	
126	126	30.686926	6.92	Colonize	126	24.97647	6.88	Colonize	126	36.101955	6.88	Contest	
127	127	30.837393	6.928571	Colonize	127	25.500294	6.873016	Colonize	127	36.277435	6.873016	Colonize	
128	128	31.140596	6.92126	Colonize	128	25.72679	6.850394	Colonize	128	36.414635	6.866142	Colonize	
129	129	31.356272	6.8984375	Colonize	129	25.842882	6.859375	Colonize	129	36.56678	6.890625	Contest	
130	130	31.505512	6.9069767	Colonize	130	25.935402	6.868217	Colonize	130	36.684372	6.8992248	Contest	
