SIMULATION PARAMETERS:
n = 18
m = 32
p = 6
resource_noise_scale = 0.41666666
q = 0.0
E_C = 0.0
P_HF = 0.5
R_t = 0.0
SIMULATION DATA:
t	NATION 0 S	NATION 0 R	NATION 0 A_BAR	NATION 0 ACTION	NATION 1 S	NATION 1 R	NATION 1 A_BAR	NATION 1 ACTION	NATION 2 S	NATION 2 R	NATION 2 A_BAR	NATION 2 ACTION	NATION 3 S	NATION 3 R	NATION 3 A_BAR	NATION 3 ACTION	NATION 4 S	NATION 4 R	NATION 4 A_BAR	NATION 4 ACTION	NATION 5 S	NATION 5 R	NATION 5 A_BAR	NATION 5 ACTION	
89	89	28.75578	6.6136365	Colonize	88	19.972607	6.681818	Colonize	89	18.46889	6.7954545	Contest	89	21.889875	6.6363635	Contest	84	18.17329	6.6987953	Contest	89	20.560167	6.7727275	Colonize	
90	90	28.838861	6.6292133	Colonize	89	20.058655	6.7045455	Colonize	90	18.694	6.8089886	Contest	90	21.96898	6.651685	Contest	85	18.566849	6.7380953	Contest	90	20.718103	6.764045	Contest	
91	91	28.945993	6.6444445	Contest	90	20.34785	6.719101	Colonize	91	18.851936	6.8	Contest	91	22.078493	6.6666665	Contest	86	18.805681	6.7294116	Colonize	90	20.63193	6.7555556	Contest	
92	92	29.213652	6.659341	Colonize	91	20.525229	6.688889	Colonize	92	19.055595	6.7912087	Contest	92	22.223097	6.659341	Contest	86	18.739046	6.744186	Contest	90	20.63193	6.7555556	Contest	
93	93	29.467478	6.630435	Colonize	91	20.315968	6.7032967	Colonize	91	18.89766	6.7826085	Contest	93	22.571182	6.673913	Contest	86	18.739046	6.6976743	Contest	91	20.789865	6.7555556	Contest	
94	94	29.621065	6.645161	Contest	92	20.67707	6.7032967	Colonize	91	18.7752	6.7912087	Contest	93	22.571182	6.688172	Contest	86	18.861506	6.6976743	Contest	92	20.861181	6.769231	Contest	
95	95	29.719307	6.6595745	Contest	93	20.963419	6.673913	Colonize	91	18.7752	6.7912087	Contest	93	22.571182	6.688172	Contest	86	18.861506	6.6976743	Contest	92	20.861181	6.7608695	Contest	
96	96	29.827785	6.6526318	Colonize	93	20.684233	6.688172	Colonize	91	18.685255	6.7912087	Contest	94	22.927242	6.688172	Contest	85	18.657846	6.6976743	Contest	93	21.154785	6.7608695	Contest	
97	97	29.875202	6.625	Contest	93	20.517418	6.688172	Colonize	91	18.65637	6.7912087	Contest	95	23.169954	6.7021275	Contest	85	18.686731	6.682353	Contest	93	21.154785	6.774194	Contest	
98	98	29.911308	6.6185565	Colonize	93	20.771015	6.688172	Colonize	91	18.65637	6.769231	Contest	96	23.375317	6.7157893	Contest	85	18.686731	6.6588235	Contest	93	21.154785	6.774194	Contest	
99	99	30.111095	6.6530614	Colonize	94	20.998625	6.645161	Colonize	90	18.432533	6.769231	Contest	96	23.375317	6.7291665	Contest	85	18.686731	6.6588235	Contest	94	21.37862	6.774194	Contest	
100	100	30.210676	6.6262627	Contest	94	20.987843	6.6595745	Colonize	90	18.26671	6.7555556	Contest	97	23.57247	6.7291665	Contest	84	18.605532	6.6588235	Contest	95	21.625643	6.787234	Contest	
101	101	30.30396	6.6	Contest	94	21.280312	6.6595745	Colonize	91	18.35328	6.7777777	Contest	98	23.766375	6.742268	Contest	83	18.518963	6.6666665	Contest	95	21.625643	6.8	Contest	
102	102	30.712097	6.633663	Contest	94	21.604008	6.638298	Colonize	90	18.453978	6.7912087	Contest	99	23.91229	6.755102	Contest	83	18.270536	6.6506023	Contest	96	21.77337	6.8	Contest	
103	103	30.896654	6.607843	Contest	94	21.892952	6.617021	Contest	89	18.118982	6.7555556	Contest	100	24.05606	6.767677	Contest	84	18.605532	6.626506	Contest	96	21.77337	6.8125	Contest	
104	104	31.215248	6.6213593	Contest	95	22.013931	6.5957446	Contest	88	18.066668	6.764045	Contest	100	24.05606	6.78	Contest	85	18.657846	6.6666665	Contest	96	21.77337	6.8125	Contest	
105	105	31.483421	6.6153846	Contest	95	22.013931	6.5894737	Contest	88	17.997646	6.75	Contest	100	24.05606	6.78	Contest	84	18.605532	6.682353	Contest	97	21.894707	6.8125	Contest	
106	106	31.695335	6.6285715	Contest	95	22.013931	6.5894737	Contest	87	17.896685	6.75	Contest	100	24.05606	6.78	Contest	84	18.571278	6.6666665	Contest	98	22.029922	6.8247423	Contest	
107	107	31.84414	6.6415095	Contest	96	22.082724	6.5894737	Contest	88	17.949	6.7126436	Contest	100	24.05606	6.78	Contest	82	18.45017	6.642857	Contest	98	22.029922	6.836735	Contest	
108	108	32.163063	6.654206	Contest	96	22.082724	6.5833335	Contest	86	17.666784	6.75	Contest	100	24.05606	6.78	Contest	83	18.53674	6.609756	Contest	99	22.225569	6.836735	Contest	
109	109	32.32298	6.648148	Contest	96	21.966486	6.5833335	Contest	85	17.216562	6.72093	Abandon	100	24.172298	6.78	Contest	83	18.53674	6.626506	Contest	100	22.45068	6.848485	Contest	
110	109	32.32298	6.642202	Contest	95	21.761124	6.5625	Contest	85	17.216562	6.752941	Contest	101	24.37766	6.76	Contest	83	18.53674	6.626506	Contest	100	22.45068	6.84	Contest	
111	110	32.546635	6.642202	Contest	95	21.859068	6.568421	Contest	86	17.303131	6.752941	Contest	100	24.05606	6.792079	Contest	82	18.45017	6.626506	Contest	100	22.45068	6.84	Contest	
112	110	32.546635	6.672727	Contest	96	22.06443	6.5894737	Contest	85	16.927963	6.7674417	Contest	99	23.850698	6.78	Contest	82	18.45017	6.609756	Contest	101	22.825848	6.84	Contest	
113	111	32.823414	6.672727	Contest	95	21.787653	6.6041665	Contest	84	16.93475	6.7294116	Contest	99	23.850698	6.767677	Contest	83	18.53674	6.609756	Contest	101	22.732492	6.831683	Contest	
114	111	32.823414	6.6846848	Contest	94	21.58229	6.5894737	Contest	84	17.164248	6.714286	Contest	100	24.05606	6.767677	Contest	84	18.589054	6.626506	Contest	100	22.45068	6.831683	Contest	
115	112	33.0851	6.6846848	Contest	94	21.52597	6.574468	Contest	83	17.083048	6.7380953	Contest	99	23.850698	6.78	Contest	85	18.670254	6.642857	Contest	100	22.45068	6.84	Contest	
116	113	33.261875	6.696429	Contest	95	21.723124	6.574468	Contest	82	16.58542	6.7228913	Contest	98	23.653545	6.767677	Contest	85	18.792713	6.6588235	Contest	101	22.825848	6.84	Contest	
117	114	33.36586	6.6902657	Contest	94	21.517761	6.5894737	Contest	82	16.879389	6.6829267	Contest	99	23.858908	6.755102	Contest	86	18.873913	6.6588235	Contest	100	22.45068	6.831683	Contest	
118	115	33.53984	6.7017546	Contest	93	21.448969	6.574468	Contest	81	16.809399	6.731707	Abandon	99	23.858908	6.767677	Contest	87	18.942705	6.6976743	Contest	100	22.45068	6.84	Contest	
119	116	33.635307	6.7130437	Contest	93	21.196161	6.580645	Contest	82	16.879389	6.740741	Contest	100	24.180508	6.767677	Contest	86	18.873913	6.7356324	Contest	100	22.45068	6.84	Contest	
120	117	33.72447	6.724138	Contest	93	21.196161	6.5591397	Contest	81	16.504221	6.731707	Contest	100	24.180508	6.78	Contest	86	18.873913	6.6976743	Contest	101	22.825848	6.84	Contest	
