SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
302	186889.0	42550.7	10874.0	2609.777	10354.0	2376.9507	11321.0	2582.9553	10962.0	2623.07	
303	186285.0	42394.184	11006.0	2641.4385	10502.0	2412.6384	11498.0	2637.487	11109.0	2657.6528	
304	185674.0	42243.324	11151.0	2674.6963	10663.0	2452.7332	11653.0	2682.482	11259.0	2690.1526	
305	185056.0	42089.34	11282.0	2705.2556	10827.0	2492.5283	11818.0	2730.675	11417.0	2725.5881	
306	184399.0	41926.38	11454.0	2746.339	10980.0	2530.2944	11993.0	2780.0889	11574.0	2760.2034	
307	183734.0	41765.527	11634.0	2789.425	11144.0	2567.6912	12166.0	2827.43	11722.0	2793.307	
308	183054.0	41598.633	11815.0	2832.4854	11303.0	2604.8416	12332.0	2874.8425	11896.0	2832.598	
309	182424.0	41443.793	11958.0	2865.183	11452.0	2640.559	12513.0	2926.4062	12053.0	2867.4524	
310	181784.0	41285.176	12109.0	2902.5576	11609.0	2676.6243	12698.0	2976.7705	12200.0	2902.2156	
311	181108.0	41124.312	12268.0	2941.8088	11755.0	2709.69	12892.0	3025.7239	12377.0	2941.836	
312	180501.0	40983.234	12411.0	2974.8665	11919.0	2746.1418	13044.0	3065.2288	12525.0	2973.908	
313	179898.0	40831.316	12552.0	3006.9497	12089.0	2786.6196	13202.0	3112.1897	12659.0	3006.323	
314	179252.0	40682.723	12712.0	3040.0671	12270.0	2828.0037	13350.0	3151.5535	12816.0	3041.097	
315	178580.0	40530.652	12883.0	3073.2166	12440.0	2866.978	13513.0	3196.3787	12984.0	3076.182	
316	177865.0	40370.066	13062.0	3111.0574	12610.0	2906.1965	13702.0	3245.776	13161.0	3110.3035	
317	177202.0	40220.63	13213.0	3142.6008	12766.0	2941.721	13896.0	3295.5757	13323.0	3142.8428	
318	176502.0	40065.85	13376.0	3176.1072	12942.0	2982.668	14084.0	3343.7139	13496.0	3175.0217	
319	175757.0	39904.26	13564.0	3213.4348	13136.0	3025.401	14263.0	3388.2656	13680.0	3212.0156	
320	175030.0	39743.71	13761.0	3253.8286	13306.0	3064.8079	14444.0	3432.6445	13859.0	3248.4043	
321	174321.0	39588.434	13935.0	3289.4702	13483.0	3105.0322	14620.0	3473.1511	14041.0	3287.3113	
322	173586.0	39432.91	14123.0	3324.4666	13690.0	3152.6348	14790.0	3510.9177	14211.0	3322.4836	
323	172842.0	39266.64	14328.0	3363.5945	13867.0	3195.3225	14964.0	3552.8923	14399.0	3364.9802	
324	172096.0	39106.957	14535.0	3399.5513	14063.0	3242.959	15133.0	3593.6143	14573.0	3400.3967	
325	171378.0	38949.32	14723.0	3435.223	14241.0	3286.2244	15297.0	3630.4023	14761.0	3442.3176	
326	170618.0	38782.566	14913.0	3471.189	14445.0	3335.2861	15462.0	3669.4902	14962.0	3484.9866	
327	169896.0	38630.863	15065.0	3499.0544	14652.0	3385.9258	15627.0	3703.882	15160.0	3523.8035	
328	169165.0	38470.89	15238.0	3531.1567	14843.0	3436.0938	15797.0	3740.611	15357.0	3564.798	
329	168413.0	38304.5	15417.0	3566.2803	15019.0	3484.2793	15965.0	3775.5708	15586.0	3612.9194	
330	167658.0	38143.016	15608.0	3602.9048	15217.0	3534.5078	16136.0	3810.2805	15781.0	3652.788	
331	166906.0	37982.12	15796.0	3636.1702	15416.0	3585.584	16311.0	3847.2131	15971.0	3692.4524	
332	166168.0	37824.72	15959.0	3666.6836	15610.0	3636.134	16491.0	3883.8	16172.0	3732.2056	
333	165424.0	37662.516	16135.0	3698.7854	15809.0	3691.484	16666.0	3920.1726	16366.0	3770.5918	
334	164748.0	37517.523	16295.0	3726.69	15984.0	3738.7031	16823.0	3955.9019	16550.0	3804.7654	
335	164002.0	37353.066	16457.0	3758.46	16183.0	3793.9092	17011.0	3994.6836	16747.0	3843.5269	
336	163222.0	37180.97	16630.0	3790.5864	16389.0	3848.9229	17203.0	4039.7498	16956.0	3883.418	
337	162440.0	37010.383	16798.0	3821.2007	16592.0	3903.6077	17405.0	4085.4014	17165.0	3923.065	
338	161660.0	36836.945	16958.0	3852.1516	16799.0	3958.7449	17621.0	4131.251	17362.0	3964.5962	
339	160905.0	36670.543	17151.0	3889.2783	16989.0	4011.534	17800.0	4169.957	17555.0	4002.2852	
340	160041.0	36477.434	17387.0	3936.1802	17198.0	4064.1743	18013.0	4221.568	17761.0	4044.1865	
341	159253.0	36297.01	17597.0	3979.7007	17378.0	4109.9717	18225.0	4274.6045	17947.0	4082.192	
342	158469.0	36119.652	17785.0	4016.0054	17568.0	4156.793	18451.0	4331.5234	18127.0	4119.459	
343	157666.0	35936.332	17984.0	4057.4448	17777.0	4206.4634	18641.0	4380.055	18332.0	4163.2007	
344	156841.0	35748.082	18201.0	4100.1436	17953.0	4248.3965	18858.0	4436.9927	18547.0	4209.8745	
345	156036.0	35558.86	18387.0	4138.2456	18148.0	4293.0054	19082.0	4498.5947	18747.0	4254.78	
346	155235.0	35361.25	18580.0	4180.2334	18310.0	4333.307	19326.0	4568.389	18949.0	4300.319	
347	154397.0	35159.145	18792.0	4227.1255	18482.0	4375.0347	19557.0	4630.3306	19172.0	4351.874	
348	153546.0	34950.336	18993.0	4272.3823	18661.0	4420.0947	19815.0	4697.708	19385.0	4402.9365	
349	152733.0	34752.168	19205.0	4317.814	18846.0	4467.5576	20025.0	4756.004	19591.0	4449.812	
350	151888.0	34541.164	19428.0	4366.2144	19031.0	4513.864	20258.0	4823.563	19795.0	4498.4946	
351	151037.0	34319.855	19662.0	4418.583	19235.0	4570.0566	20483.0	4889.364	19983.0	4545.4775	
352	150201.0	34110.08	19871.0	4464.213	19445.0	4626.57	20701.0	4949.7397	20182.0	4592.791	
353	149321.0	33885.484	20120.0	4519.221	19666.0	4688.1416	20914.0	5009.5093	20379.0	4641.039	
354	148459.0	33660.44	20351.0	4571.5005	19891.0	4754.7505	21111.0	5063.8164	20588.0	4692.9053	
355	147558.0	33437.613	20552.0	4613.6484	20129.0	4819.7944	21343.0	5124.4883	20818.0	4747.818	
356	146707.0	33225.074	20780.0	4663.5205	20320.0	4873.408	21543.0	5175.6797	21050.0	4805.703	
357	145824.0	33002.547	21012.0	4713.0073	20530.0	4934.919	21764.0	5233.448	21270.0	4859.4673	
358	144978.0	32787.414	21229.0	4759.7285	20741.0	4996.8374	21964.0	5285.785	21488.0	4913.6978	
359	144090.0	32572.78	21464.0	4811.0713	20965.0	5056.654	22188.0	5340.406	21693.0	4962.5347	
360	143232.0	32362.965	21670.0	4854.048	21206.0	5120.9067	22394.0	5391.512	21898.0	5013.985	
361	142396.0	32159.736	21883.0	4900.746	21421.0	5176.29	22623.0	5449.4155	22077.0	5057.2505	
362	141501.0	31943.195	22090.0	4946.2803	21635.0	5233.066	22883.0	5513.6006	22291.0	5107.2754	
363	140663.0	31739.371	22300.0	4995.8813	21840.0	5287.3467	23120.0	5569.789	22477.0	5150.9946	
364	139769.0	31522.998	22543.0	5049.609	22063.0	5347.234	23334.0	5621.525	22691.0	5202.025	
365	138925.0	31312.334	22750.0	5100.2827	22276.0	5402.8374	23547.0	5674.6562	22902.0	5253.2627	
366	138053.0	31102.662	22967.0	5151.485	22490.0	5459.6323	23758.0	5721.4116	23132.0	5308.1577	
367	137186.0	30901.617	23163.0	5193.9995	22714.0	5514.88	23988.0	5771.9233	23349.0	5360.884	
368	136298.0	30688.727	23380.0	5241.6045	22938.0	5572.359	24205.0	5818.8325	23579.0	5421.7925	
369	135390.0	30474.932	23584.0	5283.88	23151.0	5625.8525	24451.0	5874.8804	23824.0	5483.7856	
370	134418.0	30248.906	23816.0	5335.3237	23377.0	5680.76	24717.0	5931.4043	24072.0	5546.935	
371	133501.0	30037.45	24038.0	5385.392	23611.0	5732.6914	24927.0	5975.744	24323.0	5612.054	
372	132547.0	29819.008	24266.0	5432.955	23829.0	5781.788	25192.0	6032.984	24566.0	5676.6016	
373	131622.0	29605.793	24493.0	5480.8286	24064.0	5833.6484	25426.0	6084.9834	24795.0	5738.122	
374	130712.0	29402.652	24714.0	5526.9126	24277.0	5878.3115	25661.0	6136.722	25036.0	5798.763	
375	129788.0	29195.018	24932.0	5574.1533	24502.0	5925.3794	25897.0	6189.075	25281.0	5859.7	
376	128833.0	28973.86	25168.0	5625.725	24696.0	5968.045	26169.0	6248.835	25534.0	5926.8403	
377	127881.0	28755.066	25392.0	5675.3667	24930.0	6020.5435	26431.0	6308.912	25766.0	5983.4194	
378	126962.0	28544.705	25602.0	5719.927	25141.0	6067.002	26680.0	6365.656	26015.0	6046.0376	
379	126059.0	28341.697	25809.0	5765.592	25338.0	6108.6113	26951.0	6426.0767	26243.0	6101.3555	
380	125132.0	28134.816	26034.0	5815.017	25559.0	6151.947	27200.0	6483.905	26475.0	6157.665	
381	124189.0	27922.2	26256.0	5867.0024	25763.0	6192.8076	27473.0	6543.955	26719.0	6217.377	
382	123281.0	27725.559	26470.0	5912.822	25969.0	6235.095	27730.0	6599.36	26950.0	6270.509	
383	122422.0	27546.057	26684.0	5959.0625	26187.0	6274.483	27941.0	6644.0674	27166.0	6319.6816	
384	121579.0	27370.4	26890.0	6001.301	26387.0	6312.186	28171.0	6694.1133	27373.0	6365.3438	
385	120735.0	27200.734	27088.0	6041.5137	26602.0	6350.862	28411.0	6745.385	27564.0	6404.8477	
386	119918.0	27027.88	27289.0	6085.9316	26802.0	6387.106	28617.0	6791.2065	27774.0	6451.214	
387	119076.0	26852.086	27478.0	6128.817	27015.0	6425.6924	28852.0	6842.15	27979.0	6494.603	
388	118183.0	26663.389	27729.0	6185.5327	27224.0	6461.0586	29082.0	6894.739	28182.0	6538.6616	
389	117348.0	26479.889	27976.0	6243.676	27394.0	6491.643	29319.0	6951.149	28363.0	6577.017	
390	116527.0	26303.785	28201.0	6296.1846	27588.0	6525.9243	29528.0	6999.717	28556.0	6617.7563	
391	115741.0	26131.861	28404.0	6348.812	27766.0	6555.976	29724.0	7046.593	28765.0	6660.108	
