SIMULATION PARAMETERS:
n = 360
m = 640
k = 1
p = 4
recruit_likeliness = 0.1
defeat_likeliness = 0.001
starting_control = 100
resource_noise_scale = 0.06588078

SIMULATION DATA:
t	NATION -1 SIZE	NATION -1 RESOURCES	NATION 0 SIZE	NATION 0 RESOURCES	NATION 1 SIZE	NATION 1 RESOURCES	NATION 2 SIZE	NATION 2 RESOURCES	NATION 3 SIZE	NATION 3 RESOURCES	
380	161053.0	36769.184	17042.0	3875.8987	16568.0	3888.7043	17589.0	4105.5083	18148.0	4104.408	
381	160286.0	36593.58	17209.0	3906.7925	16770.0	3941.585	17806.0	4159.9326	18329.0	4141.7197	
382	159514.0	36410.305	17375.0	3935.9517	16962.0	3994.0603	18020.0	4218.5596	18529.0	4184.7036	
383	158683.0	36212.4	17551.0	3967.6548	17170.0	4051.1138	18241.0	4276.34	18755.0	4236.0444	
384	157877.0	36022.875	17741.0	4000.3027	17370.0	4107.2583	18454.0	4331.4897	18958.0	4281.6006	
385	157105.0	35836.383	17906.0	4032.5603	17580.0	4165.139	18655.0	4384.659	19154.0	4324.785	
386	156276.0	35636.973	18096.0	4066.3242	17805.0	4227.543	18860.0	4439.3955	19363.0	4373.27	
387	155425.0	35435.203	18291.0	4104.7266	18022.0	4287.5024	19082.0	4494.216	19580.0	4421.884	
388	154613.0	35239.863	18495.0	4145.3364	18236.0	4343.7036	19287.0	4546.182	19769.0	4468.416	
389	153775.0	35040.023	18684.0	4182.6313	18459.0	4404.326	19521.0	4600.443	19961.0	4516.1133	
390	152966.0	34841.105	18880.0	4225.6904	18643.0	4453.752	19724.0	4651.34	20187.0	4571.568	
391	152098.0	34624.086	19111.0	4281.449	18837.0	4502.98	19948.0	4707.06	20406.0	4627.7554	
392	151242.0	34412.426	19347.0	4334.2085	19030.0	4551.547	20163.0	4763.9233	20618.0	4681.2173	
393	150425.0	34204.723	19539.0	4379.951	19223.0	4603.288	20371.0	4815.8345	20842.0	4739.494	
394	149568.0	33991.742	19768.0	4434.524	19433.0	4657.9673	20565.0	4861.8438	21066.0	4797.2744	
395	148718.0	33780.5	20003.0	4491.5527	19624.0	4708.4194	20768.0	4908.4536	21287.0	4854.452	
396	147818.0	33554.11	20251.0	4554.045	19860.0	4769.796	20957.0	4954.1724	21514.0	4911.266	
397	146924.0	33327.176	20504.0	4614.811	20097.0	4830.907	21154.0	5001.8066	21721.0	4968.6494	
398	146056.0	33104.684	20718.0	4668.7573	20326.0	4890.815	21345.0	5049.166	21955.0	5029.9346	
399	145149.0	32870.32	20955.0	4725.9116	20549.0	4951.9355	21543.0	5097.7866	22204.0	5097.366	
400	144226.0	32635.678	21210.0	4788.9126	20763.0	5007.669	21754.0	5150.301	22447.0	5160.833	
401	143305.0	32407.928	21428.0	4837.749	20980.0	5060.8184	21996.0	5214.735	22691.0	5222.168	
402	142400.0	32185.719	21646.0	4886.109	21202.0	5118.3477	22229.0	5273.8936	22923.0	5279.2866	
403	141497.0	31966.213	21852.0	4928.851	21435.0	5180.353	22470.0	5334.045	23146.0	5333.892	
404	140653.0	31762.635	22085.0	4976.508	21637.0	5234.3516	22676.0	5386.852	23349.0	5382.988	
405	139780.0	31558.475	22312.0	5021.851	21849.0	5287.4785	22888.0	5437.4985	23571.0	5438.056	
406	138888.0	31343.613	22541.0	5070.6016	22064.0	5343.122	23122.0	5495.0024	23785.0	5491.0117	
407	137877.0	31105.092	22815.0	5124.327	22289.0	5400.1807	23381.0	5558.3784	24038.0	5555.3574	
408	136944.0	30880.723	23046.0	5173.85	22513.0	5455.1997	23613.0	5616.2275	24284.0	5617.2856	
409	136028.0	30659.729	23289.0	5225.8374	22735.0	5510.7993	23849.0	5675.0435	24499.0	5671.8623	
410	135046.0	30424.16	23546.0	5280.871	22974.0	5569.239	24106.0	5739.8335	24728.0	5729.1934	
411	134089.0	30198.562	23801.0	5333.4326	23219.0	5628.5156	24330.0	5795.59	24961.0	5787.197	
412	133204.0	29987.756	24012.0	5380.8696	23427.0	5676.7773	24548.0	5850.683	25209.0	5847.2217	
413	132296.0	29773.762	24238.0	5432.309	23641.0	5723.62	24780.0	5909.6514	25445.0	5903.948	
414	131350.0	29551.066	24473.0	5481.239	23856.0	5772.351	25040.0	5978.0684	25681.0	5960.625	
415	130408.0	29328.426	24712.0	5532.8354	24090.0	5825.8096	25287.0	6039.2554	25903.0	6016.99	
416	129494.0	29110.24	24952.0	5586.515	24312.0	5875.6807	25519.0	6099.1235	26123.0	6071.7334	
417	128535.0	28884.53	25164.0	5634.015	24567.0	5932.166	25768.0	6161.4707	26366.0	6131.1177	
418	127663.0	28674.445	25410.0	5692.0884	24766.0	5975.964	25993.0	6217.495	26568.0	6183.3257	
